LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,SEPT_STATUS,AUGUST_STATUS,JULY_STATUS,JUNE_STATUS,MAY_STATUS,APRILL_STATUS,SEPT_PAID,AUGUST_PAID,JULY_PAID,JUNE_PAID,MAY_PAID,APRIL_PAID,DEFAULTED
20000,2,2,3,24,7,7,10,10,11,11,0,689,0,0,0,0,1
120000,2,2,2,26,10,7,9,9,9,7,0,1000,1000,1000,0,2000,1
90000,2,2,2,34,9,9,9,9,9,9,1518,1500,1000,1000,1000,5000,0
50000,2,2,3,37,9,9,9,9,9,9,2000,2019,1200,1100,1069,1000,0
50000,1,2,3,57,10,9,10,9,9,9,2000,36681,10000,9000,689,679,0
50000,1,3,2,37,9,9,9,9,9,9,2500,1815,657,1000,1000,800,0
500000,1,3,2,29,9,9,9,9,9,9,55000,40000,38000,20239,13750,13770,0
100000,2,2,2,23,9,10,10,9,9,10,380,601,0,581,1687,1542,0
140000,2,1,3,28,9,9,7,9,9,9,3329,0,432,1000,1000,1000,0
20000,1,1,2,35,11,11,11,11,10,10,0,0,0,13007,1122,0,0
200000,2,1,2,34,9,9,7,9,9,10,2306,12,50,300,3738,66,0
260000,2,3,2,51,10,10,10,10,10,7,21818,9966,8583,22301,0,3640,0
630000,2,2,2,41,10,9,10,10,10,10,1000,6500,6500,6500,2870,0,0
70000,1,2,2,30,8,7,7,9,9,7,3200,0,3000,3000,1500,0,1
250000,1,3,2,29,9,9,9,9,9,9,3000,3000,3000,3000,3000,3000,0
50000,2,1,1,23,8,7,9,9,9,9,0,1500,1100,1200,1300,1100,0
20000,1,3,2,24,9,9,7,7,7,7,3200,0,1500,0,1650,0,1
320000,1,3,3,49,9,9,9,10,10,10,10358,10000,75940,20000,195599,50000,0
360000,2,3,3,49,8,11,11,11,11,11,0,0,0,0,0,0,0
180000,2,3,2,29,8,11,11,11,11,11,0,0,0,0,0,0,0
130000,2,1,2,39,9,9,9,9,9,10,3000,1537,1000,2000,930,33764,0
120000,2,2,3,39,10,10,10,10,10,10,316,316,0,632,316,0,1
70000,2,2,2,26,7,9,9,7,7,7,2007,3582,0,3601,0,1820,1
450000,2,3,3,40,11,11,11,11,11,11,19428,1473,560,0,0,1128,1
90000,1,3,2,23,9,9,9,10,9,9,5757,0,5398,1200,2045,2000,0
50000,1,1,2,23,9,9,9,9,9,9,1973,1426,1001,1432,1062,997,0
60000,1,3,2,27,8,11,10,10,10,10,0,1000,0,500,0,1000,1
50000,2,1,2,30,9,9,9,9,9,9,1300,1300,1000,1500,1000,1012,0
50000,2,1,3,47,10,10,10,10,10,10,3415,3421,2044,30430,257,0,0
50000,1,3,2,26,9,9,9,9,9,9,1500,1500,1000,1000,1600,0,0
230000,2,3,2,27,10,10,10,10,10,10,17270,13281,15339,14307,37292,0,0
50000,1,2,2,33,7,9,9,9,9,9,1718,1500,1000,1000,1000,716,1
100000,1,3,2,32,9,9,9,9,9,9,3023,3511,3302,3204,3200,2504,0
500000,2,2,3,54,11,11,11,11,11,11,4152,22827,7521,71439,981,51582,0
500000,1,3,3,58,11,11,11,11,11,11,5006,31178,3180,0,5293,768,0
160000,1,3,2,30,10,10,11,11,11,10,131,396,396,565,792,0,0
280000,1,2,3,40,9,9,9,9,9,9,8026,8060,6300,6400,6400,6737,0
60000,2,2,2,22,9,9,9,9,9,10,1500,1518,2043,0,47671,617,0
50000,1,3,2,25,8,10,10,11,11,11,780,0,0,0,0,0,1
280000,1,3,2,31,10,10,7,10,9,10,9075,0,9976,8000,9525,781,0
360000,1,3,2,33,9,9,9,9,9,9,10000,7000,6000,188840,28000,4000,0
70000,2,3,2,25,9,9,9,9,9,9,3000,4500,4042,2500,2800,2500,0
10000,1,2,2,22,9,9,9,9,9,9,1500,2927,1000,300,1000,500,0
140000,2,2,3,37,9,9,9,9,9,9,3000,3000,3000,4000,4000,3000,0
40000,2,3,2,30,9,9,9,7,9,9,3000,5000,0,2000,3000,0,0
210000,1,3,2,29,11,11,11,11,11,11,0,0,0,0,0,0,1
20000,2,3,2,22,9,9,7,10,9,9,3000,0,16741,334,0,0,1
150000,2,4,2,46,9,9,10,9,9,11,1013,1170,0,0,0,0,1
380000,1,2,2,32,10,10,10,10,10,10,21540,15138,24677,11851,11875,8251,0
20000,1,3,2,24,9,9,9,9,9,9,1318,1315,704,928,912,1069,0
70000,1,1,2,42,8,7,7,7,7,9,0,3100,2000,0,1500,1500,1
100000,2,1,1,43,9,9,9,9,9,9,2000,1606,1500,2000,1500,1000,0
310000,2,2,3,49,11,11,11,11,11,11,7875,7600,11185,3544,464,0,0
180000,2,3,2,25,8,7,9,9,9,9,1300,2010,1762,1762,1790,1622,0
150000,2,3,2,29,7,9,9,9,9,9,1600,1718,1049,1500,2000,5000,0
500000,2,3,3,45,11,11,11,11,11,11,3640,162,0,151,2530,0,0
180000,2,1,3,34,9,9,9,10,10,10,8500,1500,7500,679,9000,2000,0
180000,2,2,3,34,9,9,9,9,9,9,8083,7296,5253,4814,4816,3800,0
200000,2,3,2,34,10,6,7,7,7,7,0,0,700,0,1200,0,0
400000,2,2,3,29,9,9,9,9,9,9,17000,15029,30000,12000,12000,23000,0
500000,2,1,3,28,9,9,9,9,9,9,1516,1300,1000,1000,2000,2000,1
70000,1,2,3,39,9,9,9,9,9,10,4025,2095,1000,2000,3000,0,0
50000,1,3,2,29,7,7,7,7,7,7,0,2700,0,2225,1200,0,1
50000,2,2,3,46,9,9,9,11,11,11,1000,0,0,0,0,0,1
130000,2,2,3,51,10,10,11,11,10,10,0,0,0,2353,0,0,0
200000,1,3,3,57,11,11,11,10,7,7,0,0,8222,300,0,1000,1
10000,1,2,3,56,7,7,7,9,9,9,2300,0,150,200,200,160,1
210000,2,3,2,30,7,10,10,10,10,10,300,1159,2280,300,4250,909,0
130000,2,1,2,29,8,11,11,10,7,10,0,0,20161,0,7319,13899,0
20000,1,4,2,22,7,9,9,9,9,9,0,1200,1000,500,1000,0,0
80000,1,3,2,31,10,10,10,10,10,10,0,390,390,390,390,390,0
320000,1,2,2,29,7,7,7,7,7,7,2500,2500,0,4800,2400,1600,1
200000,2,2,3,32,10,10,10,10,7,10,5818,15,9102,17,3165,1395,0
290000,2,3,2,37,8,11,10,10,10,10,0,3155,0,2359,0,0,0
340000,1,3,2,32,10,10,10,10,10,10,5713,23453,4314,80552,25949,2016,0
20000,1,2,2,24,9,9,7,9,9,9,2850,0,610,630,1500,0,0
50000,1,1,2,25,10,9,9,9,9,9,1759,1779,320,500,1000,1000,0
300000,2,3,3,45,10,10,10,10,10,10,291,291,291,291,291,291,0
30000,2,2,2,22,9,9,9,9,9,9,1686,1400,560,3000,1765,0,1
240000,2,2,2,44,8,11,11,11,11,11,0,0,0,0,0,0,1
470000,2,1,1,33,9,9,9,9,9,9,6400,7566,3000,960,1000,3000,0
360000,2,3,2,26,9,9,9,9,9,10,4796,3400,3100,146900,196,2963,0
60000,1,1,2,30,9,9,9,9,9,9,1576,1213,648,768,1140,0,1
400000,2,2,3,44,9,9,7,9,9,9,10700,3,3050,3000,3200,2800,0
50000,2,1,2,49,9,9,9,9,9,9,1676,1302,700,699,849,826,0
160000,1,2,2,33,9,9,9,9,9,9,4400,3547,80000,4500,4800,4500,0
360000,2,3,3,45,10,10,7,9,10,10,1170,0,0,390,390,390,1
160000,2,2,2,32,9,9,9,9,9,10,1147,2000,2000,0,766,2303,0
130000,2,3,3,35,9,9,9,10,10,10,40000,5000,1330,7095,1190,2090,0
20000,1,1,2,44,7,7,9,9,9,7,0,1651,1000,2000,0,1500,0
200000,1,3,3,53,7,7,7,7,7,7,6300,5500,5500,5500,5000,5000,1
280000,2,3,2,39,10,10,10,9,9,11,0,3968,0,0,0,0,0
100000,2,3,2,27,11,11,11,11,11,11,7555,0,0,0,0,0,0
160000,2,2,3,37,10,10,10,10,10,11,1602,840,840,0,0,7736,0
60000,2,2,2,23,9,9,9,9,9,9,1937,1301,682,690,816,835,0
90000,1,2,2,35,9,9,9,9,9,9,3621,3597,1179,1112,1104,1143,0
360000,1,3,3,43,10,10,10,10,10,9,8339,3394,12902,27000,0,68978,0
150000,1,3,2,27,9,9,9,9,9,9,4031,10006,3266,4040,1698,800,0
50000,2,1,3,22,9,9,9,9,9,9,1411,1194,379,281,321,197,0
20000,1,2,3,38,9,9,9,9,9,10,1699,1460,626,1750,150,0,1
140000,1,3,2,32,11,11,11,11,11,11,10212,850,415,100,1430,0,0
380000,2,3,2,30,11,11,10,9,9,9,223,33178,1171,1197,1250,5000,0
480000,1,3,3,63,9,9,9,7,7,9,16078,55693,17000,0,18000,24200,0
50000,2,1,2,22,9,9,9,9,9,9,1767,1362,1002,840,995,904,1
60000,2,2,2,26,7,7,7,7,7,9,0,5000,2511,6,3000,3000,0
70000,2,2,2,24,10,10,11,11,11,10,0,0,0,0,26529,2000,0
80000,2,2,3,36,10,10,10,10,10,10,2861,3279,3319,1150,1150,1035,0
350000,1,3,2,52,10,10,10,10,10,10,2272,722,867,1150,5263,5011,0
130000,1,2,2,38,9,9,9,10,10,10,10908,0,133657,4566,133841,4796,0
360000,1,2,3,35,8,11,11,11,11,11,0,0,0,0,0,0,0
330000,2,3,3,31,9,9,7,9,9,9,9260,0,3593,4100,15794,0,0
50000,1,1,3,47,9,9,7,9,9,9,2000,1000,1000,1000,1000,1000,0
280000,1,2,3,41,7,7,7,7,7,6,6500,0,14254,14850,0,5000,0
100000,2,3,2,24,9,9,9,9,9,9,2000,2677,3076,5080,3000,2033,0
50000,1,2,2,41,9,9,9,9,9,9,1340,1305,700,718,724,684,0
30000,1,3,2,24,10,7,9,9,6,7,0,1312,3000,0,1000,1000,1
240000,1,3,2,28,10,10,10,10,10,10,326,326,5676,476,326,526,0
80000,1,2,2,26,7,9,9,9,9,9,2000,1700,1000,1000,1000,1000,1
400000,1,2,3,34,10,10,10,10,10,10,9677,11867,7839,14837,7959,5712,0
240000,2,2,2,38,9,9,9,9,10,10,2000,3000,3000,1307,1203,563,0
50000,1,1,2,37,7,7,7,6,7,7,1000,4035,1000,1400,2800,0,1
450000,1,3,3,40,8,11,11,11,11,11,0,0,0,0,0,0,1
110000,2,3,3,48,8,11,11,11,11,11,0,0,0,0,0,0,0
310000,2,2,3,35,7,9,9,9,9,9,13019,11128,8407,8599,6833,5987,1
20000,1,3,2,27,9,9,9,9,9,9,1404,1130,600,861,313,0,0
20000,1,2,2,23,8,11,11,11,11,11,0,0,0,0,0,0,0
200000,1,1,2,52,9,9,9,9,9,9,3568,3585,3602,3848,3669,3784,0
180000,1,3,3,36,9,9,9,9,9,9,4655,2690,2067,2142,2217,1000,1
50000,1,2,3,51,9,9,9,9,9,9,1000,1066,1300,1500,1200,134,1
60000,1,1,3,55,6,7,7,9,9,9,2504,7,1200,1200,1100,1500,0
30000,2,3,2,23,8,11,11,11,10,10,5645,3508,27,13771,5911,3024,0
240000,1,3,2,41,8,10,10,9,9,10,2622,3301,0,360,1737,924,0
420000,1,2,3,34,9,9,9,9,9,9,9744,9553,7603,7830,7253,11326,0
330000,1,1,3,46,9,9,9,9,9,9,8210,8095,8025,8175,8391,8200,0
30000,2,2,2,22,9,9,9,9,9,9,2000,1400,0,500,0,1560,0
240000,1,2,3,34,9,9,9,7,7,7,1500,1800,0,1000,0,327,0
150000,1,3,2,27,9,9,9,9,9,9,2500,3000,3000,3000,3500,5000,0
210000,2,2,3,33,9,9,9,9,9,9,1500,1500,1000,500,2000,546,0
50000,2,1,3,51,10,10,10,10,11,11,300,5880,0,0,0,0,1
50000,1,3,2,24,9,9,9,9,9,9,2360,1700,1000,900,870,2130,0
240000,1,3,2,47,8,11,11,11,11,11,0,0,0,0,0,0,1
180000,1,2,2,28,10,10,10,10,10,10,0,416,332,500,3500,832,0
50000,1,2,2,23,8,7,7,7,9,9,1000,10000,400,700,800,600,0
170000,1,2,2,29,11,11,11,11,11,11,10000,10000,10000,9983,15863,10000,0
20000,1,3,2,29,10,10,10,10,9,10,15586,344,2340,4702,339,330,0
50000,1,3,2,28,9,9,9,9,9,6,1000,1500,2000,1583,1100,0,0
170000,2,2,2,27,9,9,9,9,9,9,1661,1200,351,358,182,0,1
200000,1,3,2,34,8,7,9,9,9,9,8000,5000,55500,5000,5000,8500,0
80000,2,2,3,23,8,7,6,7,9,9,1650,0,0,379,2091,1,0
260000,2,3,3,60,8,11,10,10,10,10,0,22500,0,969,1000,0,0
140000,1,2,3,32,9,9,9,9,7,9,3455,3110,5000,0,2100,2602,0
80000,1,3,2,25,9,9,9,9,9,9,30000,3000,6000,8000,2000,14000,0
350000,1,3,2,41,8,10,10,10,10,11,2906,1000,630,0,0,0,0
280000,2,2,3,56,9,9,9,9,9,9,8042,6700,5137,100000,7000,6321,0
30000,2,1,2,26,9,9,9,9,9,9,1700,1500,1000,1500,1500,1500,0
140000,1,3,3,34,9,9,9,9,9,9,5000,5000,11885,5000,3000,5504,0
200000,2,3,2,37,9,9,9,9,9,9,4000,3250,3250,3500,3560,5000,0
200000,2,1,2,30,9,9,9,9,9,9,7300,7108,7680,6200,5000,4500,0
210000,1,1,3,45,7,6,5,5,4,3,10478,10478,11078,11078,11678,10478,1
50000,1,1,3,57,6,7,9,9,9,9,0,1600,500,500,600,600,0
30000,1,3,2,41,7,7,7,7,7,9,3500,0,2200,0,1200,1250,0
50000,1,2,2,27,7,10,10,10,10,7,390,780,216,864,0,390,0
290000,1,1,3,47,10,10,10,10,9,10,396,396,792,0,423,369,0
