LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,SEPT_STATUS,AUGUST_STATUS,JULY_STATUS,JUNE_STATUS,MAY_STATUS,APRILL_STATUS,SEPT_BILL,AUGUST_BILL,JULY_BILL,JUNE_BILL,MAY_BILL,APRIL_BILL,SEPT_PAID,AUGUST_PAID,JULY_PAID,JUNE_PAID,MAY_PAID,APRIL_PAID,DEFAULTED
10000,1,1,2,23,9,9,9,9,9,7,6974,7838,9002,9182,9729,9411,1134,1298,478,847,0,175,0
10000,1,1,2,35,9,9,9,9,9,9,7877,8918,9864,9673,9414,9156,1174,1120,310,316,1000,2000,0
10000,1,1,2,34,9,9,9,9,9,9,8813,8464,9474,9716,9960,10188,2148,1158,400,400,400,300,0
10000,1,1,2,22,9,9,9,9,9,9,9363,5062,6021,6763,7648,8367,1200,1200,1000,1000,1000,0,0
10000,1,1,2,48,9,9,9,9,9,9,8858,9548,9540,9735,8070,0,1228,1000,195,161,0,0,0
10000,1,1,1,54,8,7,9,9,9,9,8210,7936,8792,9117,9305,9504,0,1146,471,483,502,460,0
10000,1,1,2,25,7,9,9,9,9,11,4693,5371,6327,6055,0,0,1300,1600,400,0,0,0,1
10000,1,1,2,23,9,9,9,9,9,9,6001,4308,3421,3615,4402,5173,2000,1500,400,1000,1000,500,0
10000,1,1,2,22,9,9,9,9,9,9,5757,6706,7715,7873,8742,9551,1200,1128,286,1000,955,0,0
10000,1,1,2,24,8,7,7,7,7,7,7826,8745,8440,9229,8969,8819,1200,0,900,0,2000,0,0
10000,1,1,3,51,7,7,7,7,9,9,3577,6012,6066,5820,6026,7680,2500,300,0,300,1774,284,1
10000,1,1,2,46,7,7,6,6,6,6,1050,1050,1050,1050,1050,1050,0,0,0,0,0,0,1
10000,1,1,2,24,9,9,9,9,9,9,4050,5426,6743,8544,9858,1303,2000,2000,2000,2000,1000,0,0
10000,1,1,1,42,8,7,9,9,9,7,5674,5440,7968,8829,9685,9384,0,2800,1000,1000,0,1000,1
10000,1,1,2,31,9,9,7,9,9,9,10119,10188,9089,9271,9618,8516,3000,0,295,459,1500,2000,0
10000,1,1,3,40,8,7,7,6,7,7,7229,6968,8881,8594,8312,9241,0,2035,0,0,1069,1000,1
10000,1,1,2,24,10,10,10,9,9,9,6217,5082,5400,5012,1740,390,5112,5400,2,4,0,5039,0
10000,1,1,2,25,10,10,10,10,10,10,3161,390,390,390,0,1280,390,390,390,0,1280,6380,0
10000,1,1,4,40,9,9,9,9,9,11,8286,9395,10000,10000,0,0,1400,1000,0,0,0,0,0
10000,1,1,3,47,9,9,7,9,9,7,6817,9119,8826,8849,9567,9265,2588,0,318,862,0,502,1
10000,1,1,2,33,10,10,10,10,10,10,1655,1473,390,390,540,150,1473,390,390,540,150,3780,1
10000,1,1,2,36,10,10,10,10,7,7,6517,344,0,10040,9735,10362,344,900,10040,0,790,0,0
10000,1,1,2,21,9,9,7,9,9,9,4797,6457,6154,6154,6280,0,2400,0,0,126,0,0,0
10000,1,1,3,37,9,9,9,9,9,11,14498,7512,7308,5275,0,0,2248,1120,375,0,0,0,0
10000,1,1,3,52,8,7,9,9,9,9,6969,6712,7722,7875,8041,8357,0,1128,281,292,450,1415,1
10000,1,1,2,24,10,10,9,9,9,9,273,8327,9379,9566,9766,10042,8327,1200,342,354,438,200,0
10000,1,1,3,46,10,7,7,5,6,7,6277,7019,9557,9269,8836,8548,1000,2819,0,0,0,250,1
10000,1,1,2,41,7,7,7,9,9,7,3983,4764,5528,7420,8298,8019,1000,1000,2000,1000,0,1390,1
10000,1,1,3,46,9,9,9,9,9,11,7170,8240,8050,10400,0,0,1200,1000,150,0,0,0,0
10000,1,1,2,22,9,9,9,9,9,9,9240,9131,9601,9797,9997,7497,1230,1000,196,200,0,0,0
10000,1,1,2,28,7,9,9,10,10,9,6302,6390,0,1170,9956,9992,1000,1600,1170,9956,282,91,1
10000,1,1,2,36,9,9,9,9,7,9,6470,7404,8415,9075,8785,8959,1200,1440,800,0,320,900,1
10000,1,1,3,53,10,10,9,9,9,9,1772,8304,9506,9702,9999,10344,8304,1500,500,600,800,0,0
10000,1,1,2,31,9,9,9,9,9,9,5062,5687,6132,5851,5735,6087,1259,1100,197,362,1000,1000,0
10000,1,1,3,37,10,10,10,10,10,10,678,500,381,2977,1000,0,602,381,2986,1203,0,0,1
10000,1,1,2,45,8,7,7,7,9,9,9503,7238,9407,8126,8838,9039,0,2310,0,1000,500,335,0
10000,1,1,3,30,9,9,6,7,9,9,8315,11267,10626,10160,10052,9635,3258,0,0,357,400,300,0
10000,1,1,2,34,9,9,9,9,9,9,7165,8647,9247,9431,8843,9075,2000,1141,325,331,389,1000,0
10000,1,1,2,24,8,6,7,6,7,9,5530,5792,6050,5808,5569,5876,500,500,0,0,400,364,1
10000,1,1,2,25,9,9,9,9,9,9,6892,7915,10086,18714,9781,9979,1294,2465,500,1000,500,0,0
10000,1,1,2,29,7,7,3,3,3,3,142,142,142,142,142,142,0,0,0,0,0,0,1
10000,1,1,3,42,8,7,9,10,9,9,6091,6837,7666,9270,7897,8763,1000,1000,9501,500,1000,1000,0
10000,1,1,2,22,9,9,9,9,9,9,18289,9217,10203,9634,9857,9704,1317,1303,334,373,326,1359,0
10000,1,1,2,25,9,9,9,9,9,10,8525,5141,5239,7911,17890,10000,1500,5000,4000,2000,22400,0,0
10000,1,1,2,22,8,5,6,7,7,7,8357,8085,7817,7545,8268,7993,0,0,0,1000,0,750,1
10000,1,1,3,30,8,7,9,9,9,9,9211,8119,7604,7637,6056,2852,0,1176,1000,121,57,5507,1
10000,1,1,3,30,9,9,9,6,7,9,7470,8315,11267,10626,10160,10052,1141,3258,0,0,357,400,1
10000,1,1,3,39,8,7,9,9,9,9,10866,10094,9212,9633,9550,9334,0,1201,1062,254,288,365,1
10000,1,1,3,41,8,5,6,7,9,9,10711,10399,10092,9700,10000,9900,0,0,0,302,0,0,0
10000,1,1,2,22,8,10,9,9,9,9,0,7492,8589,9365,7740,1000,7492,1224,1000,175,0,0,0
10000,1,1,2,23,9,9,9,9,9,9,5807,6974,7838,9002,9182,9729,1270,1134,1298,478,847,0,0
10000,1,1,2,46,6,7,7,6,6,6,1050,1050,1050,1050,1050,1050,0,0,0,0,0,0,1
10000,1,1,3,50,9,9,9,6,7,7,4674,6422,9145,8854,8563,9918,2000,3000,0,0,1500,0,0
10000,1,1,2,51,9,9,9,7,9,9,7282,8311,10398,10000,10000,0,1311,2398,0,0,0,0,0
10000,1,1,3,54,5,6,7,7,7,7,7936,7662,8386,9069,9966,8410,0,1000,1000,1000,0,2000,1
10000,1,1,2,24,8,10,9,10,9,9,-372,4253,1777,780,780,0,5253,1500,780,0,0,0,0
