LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,SEPT_STATUS,AUGUST_STATUS,JULY_STATUS,JUNE_STATUS,MAY_STATUS,APRILL_STATUS,DEFAULTED
20000,2,2,3,24,7,7,10,10,11,11,1
120000,2,2,2,26,10,7,9,9,9,7,1
90000,2,2,2,34,9,9,9,9,9,9,0
50000,2,2,3,37,9,9,9,9,9,9,0
50000,1,2,3,57,10,9,10,9,9,9,0
50000,1,3,2,37,9,9,9,9,9,9,0
500000,1,3,2,29,9,9,9,9,9,9,0
100000,2,2,2,23,9,10,10,9,9,10,0
140000,2,1,3,28,9,9,7,9,9,9,0
20000,1,1,2,35,11,11,11,11,10,10,0
200000,2,1,2,34,9,9,7,9,9,10,0
260000,2,3,2,51,10,10,10,10,10,7,0
630000,2,2,2,41,10,9,10,10,10,10,0
70000,1,2,2,30,8,7,7,9,9,7,1
250000,1,3,2,29,9,9,9,9,9,9,0
50000,2,1,1,23,8,7,9,9,9,9,0
20000,1,3,2,24,9,9,7,7,7,7,1
320000,1,3,3,49,9,9,9,10,10,10,0
360000,2,3,3,49,8,11,11,11,11,11,0
180000,2,3,2,29,8,11,11,11,11,11,0
130000,2,1,2,39,9,9,9,9,9,10,0
120000,2,2,3,39,10,10,10,10,10,10,1
70000,2,2,2,26,7,9,9,7,7,7,1
450000,2,3,3,40,11,11,11,11,11,11,1
90000,1,3,2,23,9,9,9,10,9,9,0
50000,1,1,2,23,9,9,9,9,9,9,0
60000,1,3,2,27,8,11,10,10,10,10,1
50000,2,1,2,30,9,9,9,9,9,9,0
50000,2,1,3,47,10,10,10,10,10,10,0
50000,1,3,2,26,9,9,9,9,9,9,0
230000,2,3,2,27,10,10,10,10,10,10,0
50000,1,2,2,33,7,9,9,9,9,9,1
100000,1,3,2,32,9,9,9,9,9,9,0
500000,2,2,3,54,11,11,11,11,11,11,0
500000,1,3,3,58,11,11,11,11,11,11,0
160000,1,3,2,30,10,10,11,11,11,10,0
280000,1,2,3,40,9,9,9,9,9,9,0
60000,2,2,2,22,9,9,9,9,9,10,0
50000,1,3,2,25,8,10,10,11,11,11,1
280000,1,3,2,31,10,10,7,10,9,10,0
360000,1,3,2,33,9,9,9,9,9,9,0
70000,2,3,2,25,9,9,9,9,9,9,0
10000,1,2,2,22,9,9,9,9,9,9,0
140000,2,2,3,37,9,9,9,9,9,9,0
40000,2,3,2,30,9,9,9,7,9,9,0
210000,1,3,2,29,11,11,11,11,11,11,1
20000,2,3,2,22,9,9,7,10,9,9,1
150000,2,4,2,46,9,9,10,9,9,11,1
380000,1,2,2,32,10,10,10,10,10,10,0
20000,1,3,2,24,9,9,9,9,9,9,0
70000,1,1,2,42,8,7,7,7,7,9,1
100000,2,1,1,43,9,9,9,9,9,9,0
310000,2,2,3,49,11,11,11,11,11,11,0
180000,2,3,2,25,8,7,9,9,9,9,0
150000,2,3,2,29,7,9,9,9,9,9,0
500000,2,3,3,45,11,11,11,11,11,11,0
180000,2,1,3,34,9,9,9,10,10,10,0
180000,2,2,3,34,9,9,9,9,9,9,0
200000,2,3,2,34,10,6,7,7,7,7,0
400000,2,2,3,29,9,9,9,9,9,9,0
500000,2,1,3,28,9,9,9,9,9,9,1
70000,1,2,3,39,9,9,9,9,9,10,0
50000,1,3,2,29,7,7,7,7,7,7,1
50000,2,2,3,46,9,9,9,11,11,11,1
130000,2,2,3,51,10,10,11,11,10,10,0
200000,1,3,3,57,11,11,11,10,7,7,1
10000,1,2,3,56,7,7,7,9,9,9,1
210000,2,3,2,30,7,10,10,10,10,10,0
130000,2,1,2,29,8,11,11,10,7,10,0
20000,1,4,2,22,7,9,9,9,9,9,0
80000,1,3,2,31,10,10,10,10,10,10,0
320000,1,2,2,29,7,7,7,7,7,7,1
200000,2,2,3,32,10,10,10,10,7,10,0
290000,2,3,2,37,8,11,10,10,10,10,0
340000,1,3,2,32,10,10,10,10,10,10,0
20000,1,2,2,24,9,9,7,9,9,9,0
50000,1,1,2,25,10,9,9,9,9,9,0
300000,2,3,3,45,10,10,10,10,10,10,0
30000,2,2,2,22,9,9,9,9,9,9,1
240000,2,2,2,44,8,11,11,11,11,11,1
470000,2,1,1,33,9,9,9,9,9,9,0
360000,2,3,2,26,9,9,9,9,9,10,0
60000,1,1,2,30,9,9,9,9,9,9,1
400000,2,2,3,44,9,9,7,9,9,9,0
50000,2,1,2,49,9,9,9,9,9,9,0
160000,1,2,2,33,9,9,9,9,9,9,0
360000,2,3,3,45,10,10,7,9,10,10,1
160000,2,2,2,32,9,9,9,9,9,10,0
130000,2,3,3,35,9,9,9,10,10,10,0
20000,1,1,2,44,7,7,9,9,9,7,0
200000,1,3,3,53,7,7,7,7,7,7,1
280000,2,3,2,39,10,10,10,9,9,11,0
100000,2,3,2,27,11,11,11,11,11,11,0
160000,2,2,3,37,10,10,10,10,10,11,0
60000,2,2,2,23,9,9,9,9,9,9,0
90000,1,2,2,35,9,9,9,9,9,9,0
360000,1,3,3,43,10,10,10,10,10,9,0
150000,1,3,2,27,9,9,9,9,9,9,0
50000,2,1,3,22,9,9,9,9,9,9,0
20000,1,2,3,38,9,9,9,9,9,10,1
140000,1,3,2,32,11,11,11,11,11,11,0
380000,2,3,2,30,11,11,10,9,9,9,0
480000,1,3,3,63,9,9,9,7,7,9,0
50000,2,1,2,22,9,9,9,9,9,9,1
60000,2,2,2,26,7,7,7,7,7,9,0
70000,2,2,2,24,10,10,11,11,11,10,0
80000,2,2,3,36,10,10,10,10,10,10,0
350000,1,3,2,52,10,10,10,10,10,10,0
130000,1,2,2,38,9,9,9,10,10,10,0
360000,1,2,3,35,8,11,11,11,11,11,0
330000,2,3,3,31,9,9,7,9,9,9,0
50000,1,1,3,47,9,9,7,9,9,9,0
280000,1,2,3,41,7,7,7,7,7,6,0
100000,2,3,2,24,9,9,9,9,9,9,0
50000,1,2,2,41,9,9,9,9,9,9,0
30000,1,3,2,24,10,7,9,9,6,7,1
240000,1,3,2,28,10,10,10,10,10,10,0
80000,1,2,2,26,7,9,9,9,9,9,1
400000,1,2,3,34,10,10,10,10,10,10,0
240000,2,2,2,38,9,9,9,9,10,10,0
50000,1,1,2,37,7,7,7,6,7,7,1
450000,1,3,3,40,8,11,11,11,11,11,1
110000,2,3,3,48,8,11,11,11,11,11,0
310000,2,2,3,35,7,9,9,9,9,9,1
20000,1,3,2,27,9,9,9,9,9,9,0
20000,1,2,2,23,8,11,11,11,11,11,0
200000,1,1,2,52,9,9,9,9,9,9,0
180000,1,3,3,36,9,9,9,9,9,9,1
50000,1,2,3,51,9,9,9,9,9,9,1
60000,1,1,3,55,6,7,7,9,9,9,0
30000,2,3,2,23,8,11,11,11,10,10,0
240000,1,3,2,41,8,10,10,9,9,10,0
420000,1,2,3,34,9,9,9,9,9,9,0
330000,1,1,3,46,9,9,9,9,9,9,0
30000,2,2,2,22,9,9,9,9,9,9,0
240000,1,2,3,34,9,9,9,7,7,7,0
150000,1,3,2,27,9,9,9,9,9,9,0
210000,2,2,3,33,9,9,9,9,9,9,0
50000,2,1,3,51,10,10,10,10,11,11,1
50000,1,3,2,24,9,9,9,9,9,9,0
240000,1,3,2,47,8,11,11,11,11,11,1
180000,1,2,2,28,10,10,10,10,10,10,0
50000,1,2,2,23,8,7,7,7,9,9,0
170000,1,2,2,29,11,11,11,11,11,11,0
20000,1,3,2,29,10,10,10,10,9,10,0
50000,1,3,2,28,9,9,9,9,9,6,0
170000,2,2,2,27,9,9,9,9,9,9,1
200000,1,3,2,34,8,7,9,9,9,9,0
80000,2,2,3,23,8,7,6,7,9,9,0
260000,2,3,3,60,8,11,10,10,10,10,0
140000,1,2,3,32,9,9,9,9,7,9,0
80000,1,3,2,25,9,9,9,9,9,9,0
