LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,SEPT_STATUS,AUGUST_STATUS,JULY_STATUS,JUNE_STATUS,MAY_STATUS,APRILL_STATUS,SEPT_BILL,AUGUST_BILL,JULY_BILL,JUNE_BILL,MAY_BILL,APRIL_BILL,DEFAULTED
20000,2,2,3,24,7,7,10,10,11,11,3913,3102,689,0,0,0,1
120000,2,2,2,26,10,7,9,9,9,7,2682,1725,2682,3272,3455,3261,1
90000,2,2,2,34,9,9,9,9,9,9,29239,14027,13559,14331,14948,15549,0
50000,2,2,3,37,9,9,9,9,9,9,46990,48233,49291,28314,28959,29547,0
50000,1,2,3,57,10,9,10,9,9,9,8617,5670,35835,20940,19146,19131,0
50000,1,3,2,37,9,9,9,9,9,9,64400,57069,57608,19394,19619,20024,0
500000,1,3,2,29,9,9,9,9,9,9,367965,412023,445007,542653,483003,473944,0
100000,2,2,2,23,9,10,10,9,9,10,11876,380,601,221,-159,567,0
140000,2,1,3,28,9,9,7,9,9,9,11285,14096,12108,12211,11793,3719,0
20000,1,1,2,35,11,11,11,11,10,10,0,0,0,0,13007,13912,0
200000,2,1,2,34,9,9,7,9,9,10,11073,9787,5535,2513,1828,3731,0
260000,2,3,2,51,10,10,10,10,10,7,12261,21670,9966,8517,22287,13668,0
630000,2,2,2,41,10,9,10,10,10,10,12137,6500,6500,6500,6500,2870,0
70000,1,2,2,30,8,7,7,9,9,7,65802,67369,65701,66782,36137,36894,1
250000,1,3,2,29,9,9,9,9,9,9,70887,67060,63561,59696,56875,55512,0
50000,2,1,1,23,8,7,9,9,9,9,50614,29173,28116,28771,29531,30211,0
20000,1,3,2,24,9,9,7,7,7,7,15376,18010,17428,18338,17905,19104,1
320000,1,3,3,49,9,9,9,10,10,10,253286,246536,194663,70074,5856,195599,0
360000,2,3,3,49,8,11,11,11,11,11,0,0,0,0,0,0,0
180000,2,3,2,29,8,11,11,11,11,11,0,0,0,0,0,0,0
130000,2,1,2,39,9,9,9,9,9,10,38358,27688,24489,20616,11802,930,0
120000,2,2,3,39,10,10,10,10,10,10,316,316,316,0,632,316,1
70000,2,2,2,26,7,9,9,7,7,7,41087,42445,45020,44006,46905,46012,1
450000,2,3,3,40,11,11,11,11,11,11,5512,19420,1473,560,0,0,1
90000,1,3,2,23,9,9,9,10,9,9,4744,7070,0,5398,6360,8292,0
50000,1,1,2,23,9,9,9,9,9,9,47620,41810,36023,28967,29829,30046,0
60000,1,3,2,27,8,11,10,10,10,10,-109,-425,259,-57,127,-189,1
50000,2,1,2,30,9,9,9,9,9,9,22541,16138,17163,17878,18931,19617,0
50000,2,1,3,47,10,10,10,10,10,10,650,3415,3416,2040,30430,257,0
50000,1,3,2,26,9,9,9,9,9,9,15329,16575,17496,17907,18375,11400,0
230000,2,3,2,27,10,10,10,10,10,10,16646,17265,13266,15339,14307,36923,0
50000,1,2,2,33,7,9,9,9,9,9,30518,29618,22102,22734,23217,23680,1
100000,1,3,2,32,9,9,9,9,9,9,93036,84071,82880,80958,78703,75589,0
500000,2,2,3,54,11,11,11,11,11,11,10929,4152,22722,7521,71439,8981,0
500000,1,3,3,58,11,11,11,11,11,11,13709,5006,31130,3180,0,5293,0
160000,1,3,2,30,10,10,11,11,11,10,30265,-131,-527,-923,-1488,-1884,0
280000,1,2,3,40,9,9,9,9,9,9,186503,181328,180422,170410,173901,177413,0
60000,2,2,2,22,9,9,9,9,9,10,15054,9806,11068,6026,-28335,18660,0
50000,1,3,2,25,8,10,10,11,11,11,0,780,0,0,0,0,1
280000,1,3,2,31,10,10,7,10,9,10,498,9075,4641,9976,17976,9477,0
360000,1,3,2,33,9,9,9,9,9,9,218668,221296,206895,628699,195969,179224,0
70000,2,3,2,25,9,9,9,9,9,9,67521,66999,63949,63699,64718,65970,0
10000,1,2,2,22,9,9,9,9,9,9,1877,3184,6003,3576,3670,4451,0
140000,2,2,3,37,9,9,9,9,9,9,59504,61544,62925,64280,67079,69802,0
40000,2,3,2,30,9,9,9,7,9,9,18927,21295,25921,25209,26636,29197,0
210000,1,3,2,29,11,11,11,11,11,11,0,0,0,0,0,0,1
20000,2,3,2,22,9,9,7,10,9,9,14028,16484,15800,16341,16675,0,1
150000,2,4,2,46,9,9,10,9,9,11,4463,3034,1170,1170,0,0,1
380000,1,2,2,32,10,10,10,10,10,10,22401,21540,15134,32018,11849,11873,0
20000,1,3,2,24,9,9,9,9,9,9,17447,18479,19476,19865,20480,20063,0
70000,1,1,2,42,8,7,7,7,7,9,37042,36171,38355,39423,38659,39362,1
100000,2,1,1,43,9,9,9,9,9,9,61559,51163,43824,39619,35762,33258,0
310000,2,2,3,49,11,11,11,11,11,11,13465,7867,7600,11185,3544,464,0
180000,2,3,2,25,8,7,9,9,9,9,41402,41742,42758,43510,44420,45319,0
