LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,DEFAULTED
20000,2,2,3,24,1
120000,2,2,2,26,1
90000,2,2,2,34,0
50000,2,2,3,37,0
50000,1,2,3,57,0
50000,1,3,2,37,0
500000,1,3,2,29,0
100000,2,2,2,23,0
140000,2,1,3,28,0
20000,1,1,2,35,0
200000,2,1,2,34,0
260000,2,3,2,51,0
630000,2,2,2,41,0
70000,1,2,2,30,1
250000,1,3,2,29,0
50000,2,1,1,23,0
20000,1,3,2,24,1
320000,1,3,3,49,0
360000,2,3,3,49,0
180000,2,3,2,29,0
130000,2,1,2,39,0
120000,2,2,3,39,1
70000,2,2,2,26,1
450000,2,3,3,40,1
90000,1,3,2,23,0
50000,1,1,2,23,0
60000,1,3,2,27,1
50000,2,1,2,30,0
50000,2,1,3,47,0
50000,1,3,2,26,0
230000,2,3,2,27,0
50000,1,2,2,33,1
100000,1,3,2,32,0
500000,2,2,3,54,0
500000,1,3,3,58,0
160000,1,3,2,30,0
280000,1,2,3,40,0
60000,2,2,2,22,0
50000,1,3,2,25,1
280000,1,3,2,31,0
360000,1,3,2,33,0
70000,2,3,2,25,0
10000,1,2,2,22,0
140000,2,2,3,37,0
40000,2,3,2,30,0
210000,1,3,2,29,1
20000,2,3,2,22,1
150000,2,4,2,46,1
380000,1,2,2,32,0
20000,1,3,2,24,0
70000,1,1,2,42,1
100000,2,1,1,43,0
310000,2,2,3,49,0
180000,2,3,2,25,0
150000,2,3,2,29,0
500000,2,3,3,45,0
180000,2,1,3,34,0
180000,2,2,3,34,0
200000,2,3,2,34,0
400000,2,2,3,29,0
500000,2,1,3,28,1
70000,1,2,3,39,0
50000,1,3,2,29,1
50000,2,2,3,46,1
130000,2,2,3,51,0
200000,1,3,3,57,1
10000,1,2,3,56,1
210000,2,3,2,30,0
130000,2,1,2,29,0
20000,1,4,2,22,0
80000,1,3,2,31,0
320000,1,2,2,29,1
200000,2,2,3,32,0
290000,2,3,2,37,0
340000,1,3,2,32,0
20000,1,2,2,24,0
50000,1,1,2,25,0
300000,2,3,3,45,0
30000,2,2,2,22,1
240000,2,2,2,44,1
470000,2,1,1,33,0
360000,2,3,2,26,0
60000,1,1,2,30,1
