LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,SEPT_STATUS,AUGUST_STATUS,JULY_STATUS,JUNE_STATUS,MAY_STATUS,APRILL_STATUS,SEPT_BILL,AUGUST_BILL,JULY_BILL,JUNE_BILL,MAY_BILL,APRIL_BILL,SEPT_PAID,AUGUST_PAID,JULY_PAID,JUNE_PAID,MAY_PAID,APRIL_PAID,DEFAULTED
1000000,2,3,3,47,9,9,9,10,9,9,964511,983931,535020,891586,927171,961664,50784,50723,896040,50000,50000,50256,0
750000,2,2,3,43,10,10,10,11,10,10,72495,99628,74635,63749,85067,83208,99664,74640,63758,85072,83215,124063,0
750000,2,3,3,41,9,9,9,9,10,10,184022,163441,92767,75696,35485,4889,6817,2330,2705,50854,4913,550,0
740000,2,2,3,35,7,10,10,10,10,10,960,8154,1477,15713,8988,25449,8229,1487,15754,9012,25596,7003,1
720000,2,3,3,45,9,9,9,9,9,9,125529,112933,105582,104501,83504,79411,8019,8043,10092,3020,2591,10081,0
710000,2,2,3,40,11,11,11,10,7,9,5200,0,0,1004,854,8626,0,0,1004,0,8000,5000,1
700000,2,3,3,39,9,9,9,9,11,10,99259,102345,109636,326,2016,61707,5000,10000,326,2016,61707,17785,0
700000,2,3,3,36,9,9,9,9,9,9,450827,389039,328316,325968,271596,286805,13000,11939,10312,20004,20000,20000,0
680000,2,3,3,42,9,9,9,9,9,9,189514,188883,190076,181957,182226,177731,8000,9000,7000,7000,7000,7000,0
670000,2,3,3,43,9,9,9,9,9,9,55893,59131,61900,58225,61329,49369,10075,10063,10060,10028,10042,10055,0
640000,2,3,3,50,11,11,11,11,11,11,6482,8853,22238,9877,10110,23910,8853,22243,9877,10110,24616,5952,0
630000,2,2,3,47,9,9,9,10,10,11,37850,68187,1207,2632,8654,0,38187,1207,2632,8654,0,4981,0
630000,2,3,3,31,9,9,9,9,9,9,447263,458762,470298,480587,385587,373910,20000,20000,20000,15000,15000,15000,0
620000,2,2,3,45,7,7,9,9,9,9,160837,156839,160440,163781,167159,170894,0,6200,6000,6000,6500,6000,1
610000,2,2,3,39,9,9,9,9,9,9,145143,136334,103624,101044,106356,92459,5002,5000,4006,10000,7000,5000,0
600000,2,2,3,46,11,11,11,11,11,11,2585,1649,3474,1952,2182,2305,1652,3480,1957,2186,2310,7511,0
600000,2,2,3,38,8,7,9,9,9,9,485861,462675,464983,416550,416545,420232,33,15287,14069,15013,15003,15000,0
600000,2,2,3,38,8,7,7,7,9,9,51072,49889,39635,35130,33229,32171,0,4000,0,1500,2000,3000,0
600000,2,3,3,53,11,11,11,11,11,11,84300,27446,0,0,6677,83034,27446,0,0,6677,83034,0,0
590000,2,2,3,29,11,11,11,10,9,9,0,0,0,1387,2206,3014,0,0,1387,1000,1000,1000,1
580000,2,3,3,36,9,9,9,9,9,9,159760,162189,166127,169365,168755,167964,6422,6565,5951,6006,5894,5946,0
580000,2,2,3,57,10,10,10,10,10,10,20498,2290,4968,4481,5574,14240,2290,4968,4485,5583,14242,9986,0
580000,2,3,3,31,9,9,9,9,9,9,484798,475282,485511,488800,500723,511905,19000,20036,20000,20000,20056,16987,0
580000,2,2,3,34,8,7,9,9,9,9,420115,405932,437254,477809,486721,498316,0,38001,50000,16881,18887,16846,1
570000,2,3,3,39,11,11,11,11,11,11,2394,3872,3635,5130,7563,4889,3882,3653,5145,7573,4894,4232,0
570000,2,2,3,46,9,9,9,9,9,9,563892,569577,577957,563543,451401,108890,19534,25100,15159,11732,42880,422000,0
560000,2,2,3,45,9,9,9,9,9,9,374663,382010,379652,387706,334908,341884,13195,13510,14292,11553,12130,11703,1
560000,2,3,3,45,9,9,9,9,9,9,34669,150228,151425,143343,127225,130479,150000,60052,10268,27225,15000,20000,0
560000,2,2,3,28,11,11,11,11,11,11,2740,2740,2740,2740,1703,27802,2740,2740,2740,1703,27802,1500,0
550000,2,2,3,32,9,9,9,9,9,9,546741,535509,548020,530672,155083,165975,22863,167622,14000,4300,158064,28840,1
550000,2,2,3,34,9,9,9,9,9,9,383973,380082,389694,342198,344808,347188,15000,20000,20000,12000,12000,13000,0
550000,2,2,3,39,9,9,9,9,9,9,67886,67806,66328,26422,21386,17674,3688,2577,2169,1000,602,890,0
550000,2,2,3,32,7,9,9,9,9,9,548551,546741,535509,548020,530672,155083,21094,22863,167622,14000,4300,158064,1
540000,2,2,3,50,9,9,9,9,9,9,66637,66665,66513,67149,66880,67667,3100,3070,3100,2320,2796,3500,0
530000,2,3,3,54,11,11,11,11,11,11,6458,5598,36532,3288,1415,448,5600,36532,3293,1415,448,1687,0
530000,2,2,3,44,9,9,9,9,9,9,562326,532374,537543,541019,468571,478034,20010,25022,21003,18003,20000,20004,1
520000,2,3,3,46,8,7,7,9,9,7,133890,106928,37238,36293,55826,34989,5022,0,20000,40000,0,5000,0
520000,2,2,3,47,11,11,11,11,11,11,76762,107039,19046,7359,16336,20040,107124,19058,7387,16475,20040,98205,0
520000,2,3,3,43,9,9,9,9,9,9,146124,145785,147972,157115,196804,21550,6024,18069,30000,46805,21550,1287,0
520000,2,3,3,37,11,11,11,11,11,11,4439,3487,7491,2310,12000,0,3913,7494,2310,12000,0,0,0
510000,2,3,3,35,9,9,9,9,9,9,62382,55076,113654,104449,95937,96634,5000,70000,3500,4000,3500,5000,0
510000,2,3,3,48,10,10,10,10,10,10,9686,19121,9891,8600,3365,6011,19121,9922,8600,3365,6011,3301,0
510000,2,3,3,37,10,10,10,10,10,10,386,733,739,1939,739,2739,763,739,1939,739,2739,1110,0
510000,2,4,3,34,11,11,10,9,10,10,10554,568,22058,23205,11571,12179,1074,22657,11586,24637,12719,20798,0
510000,2,2,3,38,9,9,9,9,9,9,95589,35224,37361,39437,40292,41153,2000,2700,2700,1500,1500,10000,0
500000,2,2,3,54,11,11,11,11,11,11,10929,4152,22722,7521,71439,8981,4152,22827,7521,71439,981,51582,0
500000,2,3,3,45,11,11,11,11,11,11,1905,3640,162,0,151,2530,3640,162,0,151,2530,0,0
500000,2,3,3,47,9,9,9,9,9,9,56422,110616,110340,122967,108834,70064,70010,30357,30000,20000,52183,20000,0
500000,2,3,3,34,11,11,11,10,10,10,412,138,2299,1251,1206,1151,138,2299,1251,1206,1151,15816,0
500000,2,2,3,36,10,10,10,10,10,10,10483,23956,0,8500,4590,0,23962,0,8500,4590,0,0,0
500000,2,3,3,38,10,7,10,10,10,9,600,300,501,300,600,450,0,501,300,600,300,600,0
500000,2,2,3,50,11,10,10,10,10,10,16984,86772,53170,28622,19140,0,87004,53192,28622,19140,0,20211,0
500000,2,3,3,45,10,10,10,10,10,10,36954,-24704,22999,18339,-3876,15586,0,83000,0,0,20000,18000,0
500000,2,2,3,42,9,9,9,9,9,10,60246,74832,126778,82611,71338,29756,40000,85000,139,20000,29761,70000,0
500000,2,3,3,35,9,9,9,9,9,9,35176,36193,44157,48322,21593,13866,2504,10004,5178,1047,2019,1004,1
500000,2,3,3,39,9,9,9,9,9,9,358020,360047,369045,382231,204593,211655,15000,15000,20000,10000,10000,10000,0
500000,2,3,3,34,9,9,9,9,9,9,32715,60927,76088,110294,108964,103548,30007,30000,50000,5000,5000,30000,0
500000,2,3,3,41,9,9,9,9,9,9,190730,194336,197284,199489,201484,204017,8501,8001,6701,6321,6401,6379,0
500000,2,3,3,33,7,7,10,10,11,10,1569,1379,1800,0,0,4012,0,1800,0,0,4012,0,0
500000,2,3,3,44,11,10,9,9,9,10,71921,367979,294969,189612,128459,167105,368199,6486,234,90,167116,372495,0
500000,2,3,3,36,10,10,10,9,9,9,24170,8051,77908,50297,43679,49749,8091,78192,65,33766,37945,37947,0
500000,2,2,3,39,10,10,10,10,10,10,36550,18752,22376,39018,4233,397,18795,22398,39041,4233,397,28337,0
500000,2,2,3,27,11,11,11,11,11,11,11354,9983,13570,10000,10000,10000,9983,13587,10000,10000,10000,25304,0
500000,2,3,3,46,11,11,11,11,11,11,3982,3700,12953,9019,4236,-31,3718,13023,9070,4257,0,0,0
500000,2,2,3,39,9,9,9,9,9,9,146700,126765,107965,89339,67854,54918,4585,3789,3942,2433,10000,762,0
500000,2,3,3,37,8,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,1
500000,2,2,3,37,10,10,10,10,10,10,7325,355,355,1204,2378,6344,355,355,1204,2378,6344,14889,0
500000,2,3,3,44,8,10,10,11,10,10,706,1108,380,-270,2305,2733,1242,380,22,2575,3009,6026,0
500000,2,2,3,42,9,9,9,9,9,9,506787,487049,478965,401635,423136,422271,21000,17414,12000,30000,18000,11000,1
500000,2,2,3,41,10,10,10,10,10,10,24433,187206,10894,29161,28238,33272,187206,10909,29161,28238,33272,175357,0
500000,2,3,3,45,10,10,10,10,10,10,3852,2395,4730,4628,5127,3400,2403,4730,4628,5127,3400,1720,0
500000,2,2,3,27,9,9,9,9,9,9,174725,178556,182274,185523,183530,187150,6630,6831,6500,6500,6500,5900,0
500000,2,2,3,51,11,11,11,11,11,11,8864,1462,18653,45391,1460,580,1462,18661,45402,1460,580,1588,0
500000,2,2,3,32,9,9,9,9,9,9,37664,9689,9487,12641,14778,10665,3000,1000,6000,4000,3000,23000,0
500000,2,3,3,33,10,10,10,10,10,10,1110,1110,1416,1416,1416,1416,1110,1416,1416,1416,1416,5723,0
500000,2,3,3,37,9,9,9,9,9,9,315816,267100,277636,287998,298343,308378,10000,15000,15000,15000,15000,15200,0
500000,2,2,3,47,9,9,9,9,9,9,182516,104838,112662,66679,70090,73728,5000,10000,5000,5000,5000,5000,0
500000,2,3,3,36,7,9,9,9,9,9,197231,175599,176947,178647,176380,172666,8500,8341,6600,6925,7225,6653,1
500000,2,3,3,35,10,10,10,10,10,10,2153,9869,4055,3000,3000,8063,9869,4065,3000,3000,8063,6000,0
500000,2,2,3,30,11,11,11,11,11,11,344,5757,1820,2308,807,4966,5757,1820,2308,807,4966,3240,0
500000,2,3,3,33,11,11,10,10,11,10,125,-18088,1664089,121757,97115,377217,4366,1684259,121831,97670,379267,26759,0
500000,2,2,3,52,10,10,10,10,10,10,7593,8660,0,30498,1174,0,8677,0,30498,1174,0,800,0
500000,2,2,3,41,10,10,7,10,10,10,8938,73679,65181,5466,30177,11602,65215,326,5494,30328,11658,132,0
500000,2,3,3,41,10,10,11,11,10,10,680,0,0,0,74731,0,0,0,0,74731,0,0,0
500000,2,2,3,31,10,10,10,9,9,9,2181,5625,60201,45299,40940,16923,5700,60207,1000,838,4476,24236,0
500000,2,3,3,51,10,10,10,9,9,9,5255,86992,37272,24445,77828,61029,86992,37272,0,65428,1221,21984,0
500000,2,2,3,40,10,10,10,10,10,11,2231,-9,2312,2928,0,0,0,2321,2928,0,0,0,0
500000,2,2,3,44,9,9,9,9,9,9,38034,39044,38458,39222,40043,40854,1632,1639,1403,1452,1475,1117,0
500000,2,3,3,45,9,9,9,9,9,9,93669,101892,76452,20965,50466,61566,10147,5331,10000,30000,12000,10000,0
500000,2,3,3,39,9,9,9,9,9,10,39823,61597,52210,27843,28926,11931,30006,23016,566,22323,11931,10683,0
500000,2,3,3,36,8,11,11,11,11,11,0,0,0,0,0,200,0,0,0,0,200,159200,0
500000,2,2,3,41,9,9,9,9,9,9,131720,103746,91805,76152,62783,44422,3900,3200,2766,2100,1703,1092,0
500000,2,3,3,38,9,9,9,7,10,10,54787,72780,48785,16025,19120,11461,20015,1670,0,19120,11461,18038,0
500000,2,3,3,36,9,9,9,9,9,9,251931,301458,234316,199360,163408,186618,101458,10009,20071,20000,35565,18000,0
500000,2,3,3,34,11,11,10,7,7,11,0,0,3500,3500,0,0,0,3500,0,0,0,0,1
500000,2,3,3,38,11,11,11,11,11,11,913,9724,9350,6972,11879,15574,9782,9350,6972,11879,15574,12921,0
500000,2,3,3,42,8,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,1
500000,2,3,3,36,10,10,10,9,9,10,51465,24201,384973,349790,315125,16576,24201,384986,7017,6342,16576,43710,0
500000,2,2,3,47,10,10,10,10,10,10,396,396,396,396,396,396,396,396,396,396,396,396,1
500000,2,2,3,53,10,10,10,10,9,10,7855,17481,12021,132906,122256,37380,17512,12021,132906,0,37380,3500,0
500000,2,3,3,30,9,9,10,9,9,10,8371,8759,5574,10403,2293,2702,1015,5584,6348,46,2702,4648,0
500000,2,3,3,42,8,11,10,10,10,10,0,0,1680,0,6745,0,0,1680,0,6745,0,756,0
500000,2,2,3,41,10,10,10,10,7,7,2503,613,2339,4333,1285,1969,1043,4401,3150,0,1000,498,0
500000,2,3,3,38,9,9,9,9,9,9,238708,313903,323841,319331,316208,304388,90012,28000,15000,9494,108914,18200,0
500000,2,3,3,41,10,10,10,10,10,6,5094,5626,1715,-285,1715,1395,6000,1715,0,2000,0,0,0
500000,2,2,3,32,11,11,11,11,11,11,0,0,293,0,0,259,0,293,0,0,259,2621,0
500000,2,2,3,34,9,9,9,9,9,9,60278,56247,46940,45607,41412,31200,1745,1635,2000,3450,3000,2000,0
500000,2,3,3,40,11,11,11,11,11,11,2121,0,0,0,0,522,0,0,0,0,522,117,0
500000,2,3,3,40,10,10,9,9,9,9,4240,80648,110704,99984,71135,56594,80648,35000,10000,10000,2430,10000,0
500000,2,3,3,47,11,11,11,11,11,11,97832,47708,131063,131508,182843,10790,27369,135784,15000,75550,216,27183,0
500000,2,3,3,49,9,9,9,9,9,9,435737,421983,414453,422168,423674,413326,20157,13670,13596,14454,33720,12284,0
500000,2,2,3,37,9,9,9,9,9,10,156951,115610,81334,78637,36993,22089,20167,2114,1751,5132,22197,156937,0
500000,2,2,3,38,10,10,9,9,10,9,2343,4666,3492,3008,16871,19188,4695,2506,2015,16883,5013,8031,0
500000,2,3,3,38,10,10,10,10,10,10,7789,9656,7477,8370,8890,6424,9666,7488,8370,8890,6424,21032,0
500000,2,2,3,37,9,9,9,9,9,9,71455,79079,73583,79481,115741,168319,10004,10104,10000,40000,10000,10000,0
500000,2,2,3,34,8,7,9,9,9,9,523618,483244,459273,386722,366421,241182,0,16004,15004,15004,9814,31004,0
500000,2,3,3,48,10,9,9,9,9,9,273430,268256,262467,254307,249106,242741,9704,10851,9005,9074,8501,8985,0
