LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,SEPT_STATUS,AUGUST_STATUS,JULY_STATUS,JUNE_STATUS,MAY_STATUS,APRILL_STATUS,SEPT_BILL,AUGUST_BILL,JULY_BILL,JUNE_BILL,MAY_BILL,APRIL_BILL,SEPT_PAID,AUGUST_PAID,JULY_PAID,JUNE_PAID,MAY_PAID,APRIL_PAID,DEFAULTED
10000,1,1,2,21,9,9,7,9,9,9,4797,6457,6154,6154,6280,0,2400,0,0,126,0,0,0
10000,1,1,2,22,9,9,9,9,9,9,9363,5062,6021,6763,7648,8367,1200,1200,1000,1000,1000,0,0
10000,1,1,2,22,9,9,9,9,9,9,5757,6706,7715,7873,8742,9551,1200,1128,286,1000,955,0,0
10000,1,1,2,22,9,9,9,9,9,9,9240,9131,9601,9797,9997,7497,1230,1000,196,200,0,0,0
10000,1,1,2,22,9,9,9,9,9,9,18289,9217,10203,9634,9857,9704,1317,1303,334,373,326,1359,0
10000,1,1,2,22,8,5,6,7,7,7,8357,8085,7817,7545,8268,7993,0,0,0,1000,0,750,1
10000,1,1,2,22,8,10,9,9,9,9,0,7492,8589,9365,7740,1000,7492,1224,1000,175,0,0,0
10000,1,1,1,22,9,9,9,9,9,9,9473,9661,9001,9768,9233,9154,1288,1400,1200,300,800,500,1
20000,1,1,2,22,9,9,9,11,11,11,19624,16972,0,0,0,0,1000,0,0,0,0,0,1
20000,1,1,2,22,9,9,9,9,9,9,11242,11070,11788,9607,9191,0,1282,1000,192,184,0,0,0
20000,1,1,2,22,9,9,9,9,9,9,18535,18541,18270,16992,19025,35744,5109,1600,2400,3800,739,2000,1
20000,1,1,2,22,11,11,10,10,7,7,20732,19981,431,20786,20355,18752,2,431,20355,0,2732,7189,1
20000,1,1,2,22,8,7,9,9,9,9,18977,18374,18458,18852,19546,21165,0,1680,1000,1000,2100,0,0
20000,1,1,2,22,9,9,9,9,9,7,18306,18977,19328,19035,19262,12308,1287,1462,1522,1165,0,1000,0
20000,1,1,2,22,8,5,6,7,9,9,21425,21410,20786,19994,10700,0,620,0,4,0,0,0,1
30000,1,1,2,22,7,9,9,9,9,9,28328,29505,25362,19493,5765,0,1704,1250,390,115,0,0,0
50000,1,1,2,22,9,9,9,9,9,9,42678,38239,22691,8807,7143,6967,1500,1100,1000,500,500,1000,1
50000,1,1,2,22,8,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0
50000,1,1,2,22,9,9,10,9,9,9,48423,44450,956,976,1976,2939,2150,956,20,1000,1000,1000,1
50000,1,1,2,22,9,9,9,9,10,10,6673,5054,2340,1990,1377,1080,1056,1000,40,1377,1080,382,1
50000,1,1,3,22,9,9,9,9,9,9,46450,47599,48456,44546,43256,13342,2200,2016,2009,2092,1020,1018,0
50000,1,1,2,22,9,9,9,9,9,9,45803,46696,15287,7694,7921,8041,2400,1123,500,500,400,500,0
50000,1,1,3,22,9,9,9,9,9,9,45458,46450,47599,48456,44546,43256,2051,2200,2016,2009,2092,1020,1
50000,1,1,2,22,7,9,9,10,9,9,47021,48423,44450,956,976,1976,2543,2150,956,20,1000,1000,1
10000,1,1,2,23,9,9,9,9,9,7,6974,7838,9002,9182,9729,9411,1134,1298,478,847,0,175,0
10000,1,1,2,23,9,9,9,9,9,9,6001,4308,3421,3615,4402,5173,2000,1500,400,1000,1000,500,0
10000,1,1,2,23,9,9,9,9,9,9,5807,6974,7838,9002,9182,9729,1270,1134,1298,478,847,0,0
10000,1,1,2,23,9,9,9,9,9,9,7787,8412,9450,9414,5354,5275,1299,1337,1081,191,375,0,0
10000,1,1,2,23,9,9,9,9,9,9,8604,8594,9259,9733,9528,9513,1600,1351,1215,400,200,166,0
20000,1,1,3,23,10,10,9,9,9,9,3675,19316,19844,19844,20388,19554,19316,1261,651,803,747,155,1
